lake_id,latitude,longitude,basin,river,district,area_pct_change,status,state,monitored_period,source
0152D0703190,32.3359,76.332,Indus,Ravi,CHAMBA,9,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
0153I1404650,31.5536,78.7511,Indus,,KINNAUR,-81,decrease,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
01_53I_002,31.6607,78.1672,Indus,Sutlej,KINNAUR,-1,decrease,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
2031,31.339,78.253,Indus,,KINNAUR,7,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
1774,32.221,76.788,Indus,,KULLU,6,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
1847,31.915,77.527,Indus,,KULLU,3,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
1936,32.256,76.777,Indus,,KULLU,37,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
1998,32.32,76.908,Indus,,KULLU,9,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
0152H0603708,32.7218,77.413,Indus,Spiti,LAHUL AND SPITI,-10,decrease,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
0152H1103772,32.4829,77.6148,Indus,Chandra Bhaga,LAHUL AND SPITI,4,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
0152L0704043,32.363,78.2723,Indus,Spiti,LAHUL AND SPITI,-4,decrease,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
01_52H_002,32.5247,77.2183,Indus,Chenab,LAHUL AND SPITI,-3,decrease,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
01_52H_003,32.4985,77.5437,Indus,Chenab,LAHUL AND SPITI,17,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
01_52H_004,32.4964,77.5516,Indus,Chenab,LAHUL AND SPITI,9,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
1805,32.762,77.195,Indus,,LAHUL AND SPITI,16,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
0253I0400008,31.2308,78.2109,Ganga,,SHIMLA,11,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
0253I0700018,31.26,78.2548,Ganga,,SHIMLA,13,increase,Himachal Pradesh,September 2025,CWC Monthly Monitoring Report of Glacial Lakes - September 2025
